,name,year,rating,m_score,runtime,votes,gross
188,Isn't It Romantic,2019.0,5.9,60.0,89.0,68862.0,48791187.0
189,Gemini Man,2019.0,5.7,38.0,117.0,111488.0,48546770.0
190,Vice,2018.0,7.2,61.0,132.0,142017.0,47836282.0
191,Demon Slayer the Movie: Mugen Train,2020.0,8.2,72.0,117.0,52360.0,47700000.0
192,Boo 2! A Madea Halloween,2017.0,3.8,17.0,101.0,4730.0,47319572.0
193,Red Sparrow,2018.0,6.6,53.0,140.0,182657.0,46874505.0
194,Goosebumps 2: Slappy's Revenge,2018.0,5.6,53.0,90.0,20687.0,46700633.0
195,Breaking In,2018.0,5.4,42.0,88.0,15794.0,46383120.0
196,Wonder Woman 1984,2020.0,5.4,60.0,151.0,254654.0,46370364.0
197,Snatched,2017.0,4.6,45.0,90.0,35335.0,45825314.0
198,Five Feet Apart,2019.0,7.2,53.0,116.0,62006.0,45729221.0
199,12 Strong,2018.0,6.5,54.0,130.0,78024.0,45495662.0
200,Ma,2019.0,5.6,53.0,99.0,52112.0,45373120.0
201,Wonder Park,2019.0,5.8,45.0,85.0,11799.0,45216793.0
202,Smurfs: The Lost Village,2017.0,5.9,40.0,90.0,21282.0,45020282.0
203,Going in Style,2017.0,6.6,50.0,96.0,84350.0,45018541.0
204,Den of Thieves,2018.0,7.0,49.0,140.0,108000.0,44947622.0
205,First Man,2018.0,7.3,84.0,141.0,184635.0,44936545.0
206,All Eyez on Me,2017.0,5.8,38.0,139.0,22998.0,44922302.0
207,xXx: Return of Xander Cage,2017.0,5.2,42.0,107.0,91240.0,44898413.0
208,The Forever Purge,2021.0,5.4,53.0,103.0,30263.0,44539245.0
209,47 Meters Down,2017.0,5.6,52.0,89.0,54072.0,44307193.0
210,Hereditary,2018.0,7.3,87.0,127.0,292629.0,44069456.0
211,Acrimony,2018.0,5.8,32.0,120.0,8770.0,43549096.0
212,Sherlock Gnomes,2018.0,5.2,36.0,86.0,12219.0,43242871.0
213,The Big Sick,2017.0,7.5,86.0,120.0,132968.0,42873127.0
214,Uncle Drew,2018.0,5.7,57.0,103.0,14181.0,42469946.0
215,Widows,2018.0,6.9,84.0,129.0,95995.0,42402632.0
216,Mortal Kombat,2021.0,6.1,44.0,110.0,165978.0,42201013.0
217,A Dog's Way Home,2019.0,6.7,50.0,96.0,17727.0,41952715.0
218,The Angry Birds Movie 2,2019.0,6.4,60.0,97.0,28192.0,41657076.0
219,Truth or Dare,2018.0,5.2,35.0,100.0,54599.0,41411015.0
220,Valerian and the City of a Thousand Planets,2017.0,6.4,51.0,136.0,178111.0,41189488.0
221,Be Apart of a Legacy,2017.0,,,,41000000.0,
222,The Star,2017.0,6.2,42.0,86.0,8048.0,40852824.0
223,"Love, Simon",2018.0,7.5,72.0,110.0,111452.0,40826341.0
224,Breakthrough,2019.0,6.2,46.0,116.0,9689.0,40713082.0
225,Little,2019.0,5.5,49.0,109.0,13253.0,40673960.0
226,Ghost in the Shell,2017.0,6.3,52.0,107.0,211872.0,40563557.0
227,Paddington 2,2017.0,7.8,88.0,103.0,73457.0,40442052.0
228,Second Act,2018.0,5.8,46.0,103.0,27006.0,39282227.0
229,King Arthur: Legend of the Sword,2017.0,6.7,41.0,126.0,212646.0,39175066.0
230,Crawl,2019.0,6.1,60.0,87.0,82180.0,39014193.0
231,Jigsaw,2017.0,5.7,39.0,92.0,77756.0,38052832.0
232,The Commuter,2018.0,6.3,56.0,104.0,113767.0,36343858.0
233,The 15:17 to Paris,2018.0,5.3,45.0,94.0,32732.0,36250957.0
234,American Assassin,2017.0,6.2,45.0,111.0,80523.0,36249674.0
235,Mile 22,2018.0,6.1,38.0,94.0,77917.0,36108758.0
236,Alpha,2018.0,6.6,63.0,96.0,61594.0,35851379.0
237,The Intruder,2019.0,5.6,39.0,102.0,17382.0,35419122.0
238,Peppermint,2018.0,6.4,29.0,101.0,64147.0,35418723.0
239,The Hustle,2019.0,5.4,35.0,93.0,57835.0,35417038.0
240,The Foreigner,2017.0,7.0,55.0,113.0,112589.0,34393507.0
241,The Favourite,2018.0,7.5,91.0,119.0,195067.0,34366783.0
242,Death Wish,2018.0,6.3,31.0,107.0,71422.0,34017028.0
243,"Everything, Everything",2017.0,6.3,52.0,96.0,37916.0,34000284.0
244,Wind River,2017.0,7.7,73.0,107.0,243386.0,33800859.0
245,Geostorm,2017.0,5.3,21.0,109.0,105728.0,33700160.0
246,The Spy Who Dumped Me,2018.0,6.0,52.0,117.0,76512.0,33562069.0
247,Annihilation,2018.0,6.8,79.0,115.0,313837.0,32732301.0
248,Don't Breathe 2,2021.0,6.0,46.0,98.0,49832.0,32638038.0
249,Fist Fight,2017.0,5.6,37.0,91.0,42435.0,32187017.0
250,Cold Pursuit,2019.0,6.2,57.0,119.0,67828.0,32138862.0
251,How to Be a Latin Lover,2017.0,6.0,54.0,115.0,15994.0,32088029.0
252,Isle of Dogs,2018.0,7.8,82.0,101.0,163401.0,32015231.0
253,Nobody's Fool,2018.0,4.8,39.0,110.0,7550.0,31713110.0
254,Adrift,2018.0,6.6,56.0,96.0,55310.0,31445012.0
255,Robin Hood,2018.0,5.3,32.0,116.0,72463.0,30824628.0
256,Kidnap,2017.0,5.9,44.0,95.0,36811.0,30718107.0
257,Dragon Ball Super: Broly,2018.0,7.8,59.0,100.0,26298.0,30712119.0
258,Super Troopers 2,2018.0,6.0,41.0,99.0,26366.0,30617396.0
259,Holmes & Watson,2018.0,3.9,24.0,90.0,36026.0,30573626.0
260,Slender Man,2018.0,3.2,30.0,93.0,33419.0,30569484.0
261,The Mountain Between Us,2017.0,6.4,48.0,112.0,74193.0,30348555.0
262,Long Shot,2019.0,6.8,67.0,125.0,108544.0,30316271.0
263,Life,2017.0,6.6,54.0,104.0,225168.0,30234022.0
264,"I, Tonya",2017.0,7.5,77.0,119.0,208923.0,30014539.0
265,Hostiles,2017.0,7.2,65.0,134.0,82808.0,29819114.0
266,The Hate U Give,2018.0,7.4,81.0,133.0,35589.0,29719483.0
267,Teen Titans GO! To the Movies,2018.0,6.7,69.0,84.0,19070.0,29562341.0
268,Child's Play,2019.0,5.7,48.0,90.0,50828.0,29208403.0
269,Molly's Game,2017.0,7.4,71.0,140.0,166331.0,28780744.0
270,Ready or Not,2019.0,6.8,64.0,95.0,141131.0,28714231.0
271,The Nut Job 2: Nutty by Nature,2017.0,5.5,36.0,91.0,6583.0,28370522.0
272,Happy Death Day 2U,2019.0,6.2,57.0,100.0,71436.0,28051045.0
273,Rings,2017.0,4.5,25.0,102.0,40310.0,27793018.0
274,Logan Lucky,2017.0,7.0,78.0,118.0,146829.0,27780977.0
275,Midsommar,2019.0,7.1,72.0,148.0,287144.0,27331977.0
276,Fantasy Island,2020.0,4.9,22.0,109.0,50196.0,27309289.0
277,Nobody,2021.0,7.4,64.0,92.0,224840.0,27268035.0
278,Home Again,2017.0,5.8,41.0,97.0,31960.0,27020284.0
279,In Like Flynn,2018.0,5.1,66.0,106.0,1164.0,26646175.0
280,Overcomer,2019.0,6.5,17.0,119.0,4823.0,26252768.0
281,Searching,2018.0,7.6,71.0,102.0,159130.0,26020957.0
282,The Art of Racing in the Rain,2019.0,7.5,43.0,109.0,30239.0,25501224.0
283,The House,2017.0,5.6,30.0,88.0,44100.0,25481529.0
284,Escape Room: Tournament of Champions,2021.0,5.7,48.0,88.0,40140.0,25188958.0
285,All the Money in the World,2017.0,6.8,72.0,132.0,83999.0,25106315.0
286,Winchester,2018.0,5.4,28.0,99.0,33658.0,25091816.0
287,Gifted,2017.0,7.6,60.0,101.0,113318.0,24801212.0
288,On the Basis of Sex,2018.0,7.1,59.0,120.0,33752.0,24622687.0
289,Downsizing,2017.0,5.7,63.0,135.0,108381.0,24449754.0
290,The Strangers: Prey at Night,2018.0,5.2,48.0,85.0,30622.0,24431472.0
291,White Boy Rick,2018.0,6.5,59.0,111.0,36863.0,24011188.0
292,Fighting with My Family,2019.0,7.1,68.0,108.0,79565.0,22958886.0
293,Won't You Be My Neighbor?,2018.0,8.3,85.0,95.0,25303.0,22835787.0
294,A Dog's Journey,2019.0,7.4,43.0,109.0,24078.0,22782371.0
295,Booksmart,2019.0,7.1,84.0,102.0,113873.0,22680962.0
296,The Bye Bye Man,2017.0,4.3,37.0,96.0,23783.0,22377458.0
297,Stuber,2019.0,6.1,42.0,93.0,46642.0,22370452.0
298,Victoria & Abdul,2017.0,6.8,58.0,111.0,35508.0,22245070.0
299,Rough Night,2017.0,5.2,51.0,101.0,51542.0,22062200.0
300,Black and Blue,2019.0,6.4,54.0,108.0,22604.0,22055313.0
301,Hellboy,2019.0,5.2,31.0,120.0,87834.0,21903748.0
302,My Little Pony: The Movie,2017.0,6.0,39.0,99.0,6947.0,21885107.0
303,Overlord,2018.0,6.6,60.0,110.0,96859.0,21704844.0
304,Shaft,2019.0,6.4,40.0,111.0,52221.0,21360215.0
305,The Disaster Artist,2017.0,7.3,76.0,104.0,150910.0,21120616.0
306,47 Meters Down: Uncaged,2019.0,5.0,43.0,90.0,25558.0,21111972.0
307,Phantom Thread,2017.0,7.4,90.0,130.0,128861.0,21023275.0
308,Proud Mary,2018.0,5.0,35.0,89.0,9875.0,20868638.0
309,Sleepless,2017.0,5.6,34.0,95.0,32122.0,20783704.0
310,The Happytime Murders,2018.0,5.4,27.0,91.0,27789.0,20706452.0
311,Diary of a Wimpy Kid: The Long Haul,2017.0,4.3,39.0,91.0,8940.0,20638993.0
312,SuperFly,2018.0,5.1,52.0,116.0,7034.0,20545116.0
313,The Circle,2017.0,5.3,43.0,110.0,91484.0,20497844.0
314,Baahubali 2: The Conclusion,2017.0,8.2,,167.0,92514.0,20186659.0
315,UglyDolls,2019.0,5.0,39.0,87.0,6819.0,20150241.0
316,Unplanned,2019.0,5.6,10.0,109.0,13790.0,18988743.0
317,Rambo: Last Blood,2019.0,6.1,26.0,89.0,95150.0,18872919.0
318,CHIPS,2017.0,6.0,28.0,100.0,46526.0,18600152.0
319,Only the Brave,2017.0,7.6,72.0,134.0,66644.0,18340051.0
320,Call Me by Your Name,2017.0,7.8,93.0,132.0,258138.0,18095701.0
